No,Company,Position,Location ,WFH/ WFO/ Hybird,length of work experience required (years),,Salary,Access Date,Upload By Company,Enthusiast,Category,Degree,Information
,,,,,MIN,MAX,,,,,,,
1,Kompas Gramedia,Machine Learning Engineer | Jakarta ,"West Jakarta, Indonesia",WFO,2,,-,2-Agu-2025,- 5 days,,Full-Time,Bachelor's or Master's,
2,Nomura Research Institute Indonesia,Machine Learning Engineer (MLE) ,"Jakarta Pusat, Indonesia",WFH,3,,12000000- 24000000,2-Agu-2025,- 5 month,,Full-Time,-,
3,ICS Compute,Generative AI Engineer ,"Jakarta Selatan, Indonesia",WFO,2,,-,2-Agu-2025,- 1 month,,Full-Time,Bachelor's or Master's,
4,Gositus,AI Engineer ,"Central Jakarta, Indonesia",WFO,2,,-,2-Agu-2025,- 5 days,,Full-Time,Bachelor's,
5,PT. Indocyber Global Teknologi,AI Engineer Junior,"West Jakarta, Indonesia",WFO,1,,-,2-Agu-2025,- 2 month,,Contract,Bachelor's,
